road_width,latitude,longitude,quality,num_bedrooms,num_bathrooms,direction,age,land_area,usage_area,hospital_3km,convenience_store_3km,discount_store_3km,department_store_3km,education_3km,bank_3km,hospital_3km_shortest,convenience_store_3km_shortest,discount_store_3km_shortest,department_store_3km_shortest,education_3km_shortest,bank_3km_shortest,target,index_right
4.0,13.94604,100.39481,ค่อนข้างแย่,5,2,,18,19,145,19,28,3,0,4,5,0.785,0.924,1.663,0.0,1.39,1.22,1550000,0
4.0,13.92965,100.353378,พอใช้,4,1,,0,51,131,11,17,2,0,8,0,0.435,0.292,1.516,0.0,0.419,0.0,3490000,0
4.0,13.918296,100.351436,ดี,4,4,,17,18,72,10,16,2,0,4,0,0.847,0.252,1.05,0.0,1.458,0.0,750000,0
6.0,13.895953,100.426639,แย่,5,1,ทิศใต้,29,21,192,100,79,12,2,31,45,0.268,0.36,1.78,2.665,0.433,0.379,2820000,0
6.0,13.944676,100.402731,ค่อนข้างแย่,1,2,ทิศตะวันตกเฉียงใต้,19,15,100,18,26,4,0,4,4,1.064,0.681,1.058,0.0,1.368,1.095,1475000,0
4.0,13.91239,100.36854,ดีมาก,4,4,,21,20,122,18,19,3,0,6,2,1.256,0.278,1.639,0.0,1.31,2.95,1557000,0
10.0,13.979119,100.339826,ค่อนข้างแย่,4,2,ทิศตะวันออกเฉียงใต้,23,16,74,8,9,3,0,1,1,0.704,0.668,0.675,0.0,1.57,2.678,1450000,0
4.0,13.91821,100.35109,พอใช้,4,3,,20,18,72,10,16,2,0,4,0,0.845,0.259,1.05,0.0,1.484,0.0,880000,0
4.0,13.94302,100.4018,ดี,5,4,,8,18,106,23,26,5,0,5,5,0.854,0.571,1.265,0.0,1.159,1.018,1270000,0
6.0,13.945716,100.396212,ดีมาก,1,4,,24,17,126,19,28,4,0,3,5,0.911,0.944,1.542,0.0,1.338,1.167,1550000,0
4.0,13.90186,100.42328,ค่อนข้างแย่,4,1,,24,17,88,85,62,11,0,28,29,0.827,0.569,1.309,0.0,0.209,0.832,880000,0
6.0,13.880774,100.457574,พอใช้,2,4,ทิศใต้,27,18,127,68,58,6,0,26,12,0.106,0.1,0.11,0.0,0.344,0.168,1550000,0
4.0,13.92651,100.3542,ค่อนข้างแย่,2,2,,16,16,96,12,17,2,0,5,0,0.792,0.069,1.744,0.0,0.523,0.0,880000,0
4.0,13.904026,100.369817,ค่อนข้างแย่,4,4,,7,16,94,15,18,4,0,7,2,1.152,0.205,1.824,0.0,1.263,2.796,1300000,0
8.0,13.918561,100.362435,ค่อนข้างแย่,2,2,ทิศตะวันออก,29,16,106,15,17,2,0,8,0,0.318,0.501,1.407,0.0,1.407,0.0,1300000,0
6.0,13.929031,100.35808,ดีมาก,3,4,ทิศตะวันออกเฉียงเหนือ,24,18,110,11,21,2,0,7,1,0.695,0.239,1.304,0.0,0.161,2.877,1549000,0
4.0,13.90605,100.34437,ดี,2,1,,15,17,106,6,16,1,0,4,0,0.903,0.431,1.068,0.0,0.816,0.0,880000,0
